date,state,city,totalCases
26/03/2020,AC,TOTAL,24
27/03/2020,AC,TOTAL,25
05/03/2020,TOTAL,TOTAL,7
28/03/2020,AC,TOTAL,25
29/03/2020,AC,TOTAL,34
30/03/2020,AC,TOTAL,42
31/03/2020,AC,TOTAL,42
06/03/2020,TOTAL,TOTAL,14
01/04/2020,AC,TOTAL,43
02/04/2020,AC,TOTAL,45
03/04/2020,AC,TOTAL,46
04/04/2020,AC,TOTAL,46
05/04/2020,AC,TOTAL,48
07/03/2020,TOTAL,TOTAL,19
06/04/2020,AC,TOTAL,50
07/04/2020,AC,TOTAL,50
08/04/2020,AC,TOTAL,58
09/04/2020,AC,TOTAL,62
10/04/2020,AC,TOTAL,70
11/04/2020,AC,TOTAL,72
12/04/2020,AC,TOTAL,77
08/03/2020,TOTAL,TOTAL,25
13/04/2020,AC,TOTAL,90
14/04/2020,AC,TOTAL,99
15/04/2020,AC,TOTAL,101
16/04/2020,AC,TOTAL,115
17/04/2020,AC,TOTAL,135
18/04/2020,AC,TOTAL,142
08/03/2020,AL,TOTAL,1
09/03/2020,TOTAL,TOTAL,25
09/03/2020,AL,TOTAL,1
10/03/2020,AL,TOTAL,1
11/03/2020,AL,TOTAL,1
12/03/2020,AL,TOTAL,1
13/03/2020,AL,TOTAL,1
14/03/2020,AL,TOTAL,1
15/03/2020,AL,TOTAL,1
16/03/2020,AL,TOTAL,1
10/03/2020,TOTAL,TOTAL,34
17/03/2020,AL,TOTAL,1
18/03/2020,AL,TOTAL,1
19/03/2020,AL,TOTAL,4
20/03/2020,AL,TOTAL,6
21/03/2020,AL,TOTAL,7
22/03/2020,AL,TOTAL,7
23/03/2020,AL,TOTAL,8
24/03/2020,AL,TOTAL,10
11/03/2020,TOTAL,TOTAL,53
25/03/2020,AL,TOTAL,11
26/03/2020,AL,TOTAL,11
27/03/2020,AL,TOTAL,12
28/03/2020,AL,TOTAL,14
29/03/2020,AL,TOTAL,17
30/03/2020,AL,TOTAL,17
31/03/2020,AL,TOTAL,18
01/04/2020,AL,TOTAL,18
02/04/2020,AL,TOTAL,18
03/04/2020,AL,TOTAL,23
04/04/2020,AL,TOTAL,23
05/04/2020,AL,TOTAL,28
06/04/2020,AL,TOTAL,31
12/03/2020,TOTAL,TOTAL,89
07/04/2020,AL,TOTAL,34
08/04/2020,AL,TOTAL,37
09/04/2020,AL,TOTAL,37
10/04/2020,AL,TOTAL,45
11/04/2020,AL,TOTAL,48
12/04/2020,AL,TOTAL,48
13/04/2020,AL,TOTAL,58
14/04/2020,AL,TOTAL,72
15/04/2020,AL,TOTAL,83
16/04/2020,AL,TOTAL,89
17/04/2020,AL,TOTAL,110
18/04/2020,AL,TOTAL,132
13/03/2020,AM,TOTAL,2
14/03/2020,AM,TOTAL,2
13/03/2020,TOTAL,TOTAL,106
15/03/2020,AM,TOTAL,2
16/03/2020,AM,TOTAL,2
17/03/2020,AM,TOTAL,2
18/03/2020,AM,TOTAL,2
19/03/2020,AM,TOTAL,3
20/03/2020,AM,TOTAL,7
21/03/2020,AM,TOTAL,11
22/03/2020,AM,TOTAL,26
23/03/2020,AM,TOTAL,32
24/03/2020,AM,TOTAL,47
25/03/2020,AM,TOTAL,54
26/03/2020,AM,TOTAL,67
27/03/2020,AM,TOTAL,81
28/03/2020,AM,TOTAL,111
29/03/2020,AM,TOTAL,140
30/03/2020,AM,TOTAL,151
14/03/2020,TOTAL,TOTAL,142
31/03/2020,AM,TOTAL,175
01/04/2020,AM,TOTAL,200
02/04/2020,AM,TOTAL,229
03/04/2020,AM,TOTAL,260
04/04/2020,AM,TOTAL,311
05/04/2020,AM,TOTAL,417
06/04/2020,AM,TOTAL,532
07/04/2020,AM,TOTAL,636
08/04/2020,AM,TOTAL,804
09/04/2020,AM,TOTAL,899
10/04/2020,AM,TOTAL,981
11/04/2020,AM,TOTAL,1050
12/04/2020,AM,TOTAL,1206
13/04/2020,AM,TOTAL,1275
14/04/2020,AM,TOTAL,1484
15/04/2020,AM,TOTAL,1554
15/03/2020,TOTAL,TOTAL,225
16/04/2020,AM,TOTAL,1719
17/04/2020,AM,TOTAL,1809
18/04/2020,AM,TOTAL,1897
20/03/2020,AP,TOTAL,1
21/03/2020,AP,TOTAL,1
22/03/2020,AP,TOTAL,1
23/03/2020,AP,TOTAL,1
24/03/2020,AP,TOTAL,1
25/03/2020,AP,TOTAL,2
26/03/2020,AP,TOTAL,2
27/03/2020,AP,TOTAL,3
28/03/2020,AP,TOTAL,4
29/03/2020,AP,TOTAL,8
30/03/2020,AP,TOTAL,8
31/03/2020,AP,TOTAL,10
01/04/2020,AP,TOTAL,11
02/04/2020,AP,TOTAL,12
16/03/2020,TOTAL,TOTAL,279
03/04/2020,AP,TOTAL,19
04/04/2020,AP,TOTAL,29
05/04/2020,AP,TOTAL,32
06/04/2020,AP,TOTAL,39
07/04/2020,AP,TOTAL,51
08/04/2020,AP,TOTAL,107
09/04/2020,AP,TOTAL,128
10/04/2020,AP,TOTAL,166
11/04/2020,AP,TOTAL,193
12/04/2020,AP,TOTAL,237
13/04/2020,AP,TOTAL,244
14/04/2020,AP,TOTAL,308
15/04/2020,AP,TOTAL,340
16/04/2020,AP,TOTAL,362
17/04/2020,AP,TOTAL,375
18/04/2020,AP,TOTAL,400
06/03/2020,BA,TOTAL,1
07/03/2020,BA,TOTAL,2
17/03/2020,TOTAL,TOTAL,333
08/03/2020,BA,TOTAL,2
09/03/2020,BA,TOTAL,2
10/03/2020,BA,TOTAL,2
11/03/2020,BA,TOTAL,3
12/03/2020,BA,TOTAL,3
13/03/2020,BA,TOTAL,7
14/03/2020,BA,TOTAL,7
15/03/2020,BA,TOTAL,9
16/03/2020,BA,TOTAL,10
17/03/2020,BA,TOTAL,14
18/03/2020,BA,TOTAL,27
19/03/2020,BA,TOTAL,31
20/03/2020,BA,TOTAL,34
21/03/2020,BA,TOTAL,41
22/03/2020,BA,TOTAL,55
23/03/2020,BA,TOTAL,63
24/03/2020,BA,TOTAL,79
25/03/2020,BA,TOTAL,91
26/03/2020,BA,TOTAL,108
27/03/2020,BA,TOTAL,123
28/03/2020,BA,TOTAL,127
18/03/2020,TOTAL,TOTAL,514
29/03/2020,BA,TOTAL,156
30/03/2020,BA,TOTAL,176
31/03/2020,BA,TOTAL,217
01/04/2020,BA,TOTAL,246
02/04/2020,BA,TOTAL,267
03/04/2020,BA,TOTAL,290
04/04/2020,BA,TOTAL,336
05/04/2020,BA,TOTAL,401
06/04/2020,BA,TOTAL,437
07/04/2020,BA,TOTAL,462
08/04/2020,BA,TOTAL,515
09/04/2020,BA,TOTAL,568
10/04/2020,BA,TOTAL,616
11/04/2020,BA,TOTAL,640
12/04/2020,BA,TOTAL,674
13/04/2020,BA,TOTAL,723
14/04/2020,BA,TOTAL,776
15/04/2020,BA,TOTAL,884
16/04/2020,BA,TOTAL,967
17/04/2020,BA,TOTAL,1064
18/04/2020,BA,TOTAL,1200
16/03/2020,CE,TOTAL,9
19/03/2020,TOTAL,TOTAL,639
17/03/2020,CE,TOTAL,10
18/03/2020,CE,TOTAL,19
19/03/2020,CE,TOTAL,20
20/03/2020,CE,TOTAL,68
21/03/2020,CE,TOTAL,84
22/03/2020,CE,TOTAL,125
23/03/2020,CE,TOTAL,164
24/03/2020,CE,TOTAL,185
25/03/2020,CE,TOTAL,211
26/03/2020,CE,TOTAL,237
27/03/2020,CE,TOTAL,282
28/03/2020,CE,TOTAL,322
29/03/2020,CE,TOTAL,359
30/03/2020,CE,TOTAL,382
31/03/2020,CE,TOTAL,401
01/04/2020,CE,TOTAL,445
02/04/2020,CE,TOTAL,565
03/04/2020,CE,TOTAL,658
04/04/2020,CE,TOTAL,745
05/04/2020,CE,TOTAL,963
06/04/2020,CE,TOTAL,1046
07/04/2020,CE,TOTAL,1189
08/04/2020,CE,TOTAL,1394
09/04/2020,CE,TOTAL,1445
10/04/2020,CE,TOTAL,1558
11/04/2020,CE,TOTAL,1668
20/03/2020,TOTAL,TOTAL,972
12/04/2020,CE,TOTAL,1747
13/04/2020,CE,TOTAL,1936
14/04/2020,CE,TOTAL,2072
15/04/2020,CE,TOTAL,2292
16/04/2020,CE,TOTAL,2412
17/04/2020,CE,TOTAL,2747
18/04/2020,CE,TOTAL,3062
07/03/2020,DF,TOTAL,1
08/03/2020,DF,TOTAL,1
09/03/2020,DF,TOTAL,1
10/03/2020,DF,TOTAL,1
11/03/2020,DF,TOTAL,2
12/03/2020,DF,TOTAL,2
13/03/2020,DF,TOTAL,2
14/03/2020,DF,TOTAL,8
15/03/2020,DF,TOTAL,14
16/03/2020,DF,TOTAL,19
17/03/2020,DF,TOTAL,22
18/03/2020,DF,TOTAL,34
19/03/2020,DF,TOTAL,42
20/03/2020,DF,TOTAL,87
21/03/2020,DF,TOTAL,108
22/03/2020,DF,TOTAL,117
23/03/2020,DF,TOTAL,138
24/03/2020,DF,TOTAL,161
25/03/2020,DF,TOTAL,191
26/03/2020,DF,TOTAL,201
21/03/2020,TOTAL,TOTAL,1197
27/03/2020,DF,TOTAL,241
28/03/2020,DF,TOTAL,260
29/03/2020,DF,TOTAL,298
30/03/2020,DF,TOTAL,312
31/03/2020,DF,TOTAL,333
01/04/2020,DF,TOTAL,370
02/04/2020,DF,TOTAL,400
03/04/2020,DF,TOTAL,419
04/04/2020,DF,TOTAL,456
05/04/2020,DF,TOTAL,468
06/04/2020,DF,TOTAL,485
07/04/2020,DF,TOTAL,503
08/04/2020,DF,TOTAL,509
09/04/2020,DF,TOTAL,527
10/04/2020,DF,TOTAL,556
11/04/2020,DF,TOTAL,592
12/04/2020,DF,TOTAL,618
13/04/2020,DF,TOTAL,641
14/04/2020,DF,TOTAL,651
15/04/2020,DF,TOTAL,688
16/04/2020,DF,TOTAL,727
17/04/2020,DF,TOTAL,756
18/04/2020,DF,TOTAL,814
06/03/2020,ES,TOTAL,1
07/03/2020,ES,TOTAL,1
08/03/2020,ES,TOTAL,1
09/03/2020,ES,TOTAL,1
22/03/2020,TOTAL,TOTAL,1594
10/03/2020,ES,TOTAL,1
11/03/2020,ES,TOTAL,1
12/03/2020,ES,TOTAL,1
13/03/2020,ES,TOTAL,1
14/03/2020,ES,TOTAL,1
15/03/2020,ES,TOTAL,1
16/03/2020,ES,TOTAL,1
17/03/2020,ES,TOTAL,1
18/03/2020,ES,TOTAL,9
19/03/2020,ES,TOTAL,13
20/03/2020,ES,TOTAL,16
