country_region_code,country_region,sub_region_1,sub_region_2,date,retail_and_recreation_percent_change_from_baseline,grocery_and_pharmacy_percent_change_from_baseline,parks_percent_change_from_baseline,transit_stations_percent_change_from_baseline,workplaces_percent_change_from_baseline,residential_percent_change_from_baseline
PT,Portugal,,,15/02/2020,4,0,21,9,1,-1
PT,Portugal,,,16/02/2020,-3,2,-14,3,1,0
PT,Portugal,,,17/02/2020,0,3,8,3,3,0
PT,Portugal,,,18/02/2020,2,3,6,5,3,0
PT,Portugal,,,19/02/2020,4,3,24,8,3,-1
PT,Portugal,,,20/02/2020,6,3,24,8,2,-1
PT,Portugal,,,21/02/2020,4,6,36,11,1,-2
PT,Portugal,,,22/02/2020,4,4,47,13,0,-3
PT,Portugal,,,23/02/2020,8,5,55,16,1,-4
PT,Portugal,,,24/02/2020,18,12,80,-3,-28,3
PT,Portugal,,,25/02/2020,-2,0,33,-25,-65,16
PT,Portugal,,,26/02/2020,0,4,25,2,-13,2
PT,Portugal,,,27/02/2020,4,6,27,6,0,0
PT,Portugal,,,28/02/2020,2,10,25,6,1,-1
PT,Portugal,,,29/02/2020,0,7,-5,3,1,1
PT,Portugal,,,01/03/2020,-8,3,-33,-1,0,2
PT,Portugal,,,02/03/2020,3,9,8,4,3,0
PT,Portugal,,,03/03/2020,-1,7,-3,1,3,0
PT,Portugal,,,04/03/2020,2,7,15,5,2,0
PT,Portugal,,,05/03/2020,3,8,14,5,2,0
PT,Portugal,,,06/03/2020,0,7,14,5,2,-1
PT,Portugal,,,07/03/2020,3,4,27,7,2,-1
PT,Portugal,,,08/03/2020,-1,6,-4,1,1,0
PT,Portugal,,,09/03/2020,0,11,21,0,2,1
PT,Portugal,,,10/03/2020,0,17,20,0,1,0
PT,Portugal,,,11/03/2020,-1,26,29,-1,0,1
PT,Portugal,,,12/03/2020,-9,28,10,-11,-4,4
PT,Portugal,,,13/03/2020,-27,23,-10,-24,-11,9
PT,Portugal,,,14/03/2020,-47,-10,-31,-33,-15,13
PT,Portugal,,,15/03/2020,-62,-33,-58,-46,-23,15
PT,Portugal,,,16/03/2020,-50,-16,-40,-51,-41,22
PT,Portugal,,,17/03/2020,-54,-20,-44,-56,-48,24
PT,Portugal,,,18/03/2020,-55,-19,-38,-57,-51,24
PT,Portugal,,,19/03/2020,-67,-36,-53,-68,-57,30
PT,Portugal,,,20/03/2020,-77,-42,-70,-73,-60,36
PT,Portugal,,,21/03/2020,-81,-48,-71,-71,-55,26
PT,Portugal,,,22/03/2020,-83,-58,-72,-74,-51,22
PT,Portugal,,,23/03/2020,-74,-42,-59,-74,-62,32
PT,Portugal,,,24/03/2020,-73,-40,-60,-74,-63,33
PT,Portugal,,,25/03/2020,-74,-42,-59,-74,-63,32
PT,Portugal,,,26/03/2020,-74,-42,-60,-75,-64,33
PT,Portugal,,,27/03/2020,-75,-39,-63,-75,-63,36
PT,Portugal,,,28/03/2020,-79,-47,-72,-74,-55,25
PT,Portugal,,,29/03/2020,-83,-59,-80,-78,-53,22
PT,Portugal,,,30/03/2020,-74,-45,-71,-78,-63,33
PT,Portugal,,,31/03/2020,-72,-36,-68,-75,-64,33
PT,Portugal,,,01/04/2020,-73,-40,-67,-76,-64,33
PT,Portugal,,,02/04/2020,-70,-35,-57,-74,-64,33
PT,Portugal,,,03/04/2020,-72,-34,-61,-75,-64,36
PT,Portugal,,,04/04/2020,-78,-44,-78,-75,-55,25
PT,Portugal,,,05/04/2020,-84,-60,-88,-82,-55,23
PT,Portugal,,,06/04/2020,-72,-39,-69,-77,-64,33
PT,Portugal,,,07/04/2020,-68,-30,-62,-74,-64,32
PT,Portugal,,,08/04/2020,-67,-27,-58,-72,-63,30
PT,Portugal,,,09/04/2020,-71,-28,-68,-78,-69,35
PT,Portugal,,,10/04/2020,-81,-45,-70,-85,-84,46
PT,Portugal,,,11/04/2020,-78,-40,-73,-77,-58,26
PT,Portugal,,,12/04/2020,-86,-83,-79,-81,-56,23
PT,Portugal,,,13/04/2020,-75,-44,-67,-80,-72,37
PT,Portugal,,,14/04/2020,-68,-33,-61,-73,-62,31
PT,Portugal,,,15/04/2020,-69,-35,-62,-73,-63,32
PT,Portugal,,,16/04/2020,-69,-34,-64,-75,-63,33
PT,Portugal,,,17/04/2020,-69,-30,-58,-73,-62,35
PT,Portugal,,,18/04/2020,-72,-40,-63,-70,-49,22
PT,Portugal,,,19/04/2020,-78,-53,-70,-75,-47,20
PT,Portugal,,,20/04/2020,-69,-44,-66,-77,-60,32
PT,Portugal,,,21/04/2020,-66,-36,-58,-74,-60,31
PT,Portugal,,,22/04/2020,-67,-38,-52,-73,-60,30
PT,Portugal,,,23/04/2020,-65,-36,-47,-73,-60,30
PT,Portugal,,,24/04/2020,-68,-33,-54,-73,-59,33
PT,Portugal,,,25/04/2020,-73,-41,-64,-71,-51,23
PT,Portugal,,,26/04/2020,-77,-50,-69,-74,-45,19
PT,Portugal,,,27/04/2020,-65,-37,-52,-73,-58,30
PT,Portugal,,,28/04/2020,-63,-31,-50,-71,-58,27
PT,Portugal,,,29/04/2020,-64,-32,-54,-72,-58,29
PT,Portugal,,,30/04/2020,-60,-19,-42,-66,-57,27
PT,Portugal,,,01/05/2020,-77,-44,-60,-81,-81,43
PT,Portugal,,,02/05/2020,-71,-33,-54,-67,-46,22
PT,Portugal,,,03/05/2020,-72,-44,-51,-67,-35,17
PT,Portugal,,,04/05/2020,-58,-27,-40,-65,-52,26
PT,Portugal,,,05/05/2020,-57,-24,-33,-64,-51,25
PT,Portugal,,,06/05/2020,-56,-23,-21,-61,-51,24
PT,Portugal,,,07/05/2020,-55,-22,-15,-62,-51,25
PT,Portugal,,,08/05/2020,-58,-19,-29,-62,-49,27
PT,Portugal,,,09/05/2020,-63,-26,-54,-62,-33,18
PT,Portugal,Aveiro District,,15/02/2020,6,3,17,12,0,-1
PT,Portugal,Aveiro District,,16/02/2020,-8,6,-34,5,1,1
PT,Portugal,Aveiro District,,17/02/2020,-3,8,0,4,4,0
PT,Portugal,Aveiro District,,18/02/2020,1,5,15,0,3,-1
PT,Portugal,Aveiro District,,19/02/2020,3,3,26,0,3,-1
PT,Portugal,Aveiro District,,20/02/2020,5,4,32,8,2,-2
PT,Portugal,Aveiro District,,21/02/2020,8,6,39,16,1,-2
PT,Portugal,Aveiro District,,22/02/2020,10,8,52,39,0,-2
PT,Portugal,Aveiro District,,23/02/2020,9,8,56,52,-1,-4
PT,Portugal,Aveiro District,,24/02/2020,28,28,129,66,-32,5
PT,Portugal,Aveiro District,,25/02/2020,0,5,66,40,-72,20
PT,Portugal,Aveiro District,,26/02/2020,-2,6,28,2,-12,3
PT,Portugal,Aveiro District,,27/02/2020,1,3,32,9,1,0
PT,Portugal,Aveiro District,,28/02/2020,2,10,16,6,1,-1
PT,Portugal,Aveiro District,,29/02/2020,-1,10,-19,-4,1,1
PT,Portugal,Aveiro District,,01/03/2020,-17,3,-57,-13,-1,4
PT,Portugal,Aveiro District,,02/03/2020,-1,12,-11,0,4,0
PT,Portugal,Aveiro District,,03/03/2020,-2,10,-12,-9,2,0
PT,Portugal,Aveiro District,,04/03/2020,0,9,-4,-7,2,0
PT,Portugal,Aveiro District,,05/03/2020,3,9,4,-2,2,0
PT,Portugal,Aveiro District,,06/03/2020,3,7,4,4,2,0
PT,Portugal,Aveiro District,,07/03/2020,6,5,23,4,2,-1
PT,Portugal,Aveiro District,,08/03/2020,-8,7,-37,-12,0,1
PT,Portugal,Aveiro District,,09/03/2020,-2,15,6,-3,3,0
PT,Portugal,Aveiro District,,10/03/2020,0,23,25,-7,2,0
PT,Portugal,Aveiro District,,11/03/2020,-2,33,16,-13,0,1
PT,Portugal,Aveiro District,,12/03/2020,-8,32,13,-18,-4,4
PT,Portugal,Aveiro District,,13/03/2020,-26,24,-17,-35,-10,10
PT,Portugal,Aveiro District,,14/03/2020,-49,-11,-36,-44,-17,15
PT,Portugal,Aveiro District,,15/03/2020,-68,-38,-74,-70,-27,18
PT,Portugal,Aveiro District,,16/03/2020,-51,-11,-47,-62,-36,22
PT,Portugal,Aveiro District,,17/03/2020,-52,-12,-28,-63,-42,23
PT,Portugal,Aveiro District,,18/03/2020,-55,-12,-37,-66,-47,26
PT,Portugal,Aveiro District,,19/03/2020,-65,-33,-45,-73,-53,30
PT,Portugal,Aveiro District,,20/03/2020,-76,-39,-74,-79,-56,38
PT,Portugal,Aveiro District,,21/03/2020,-79,-45,-73,-79,-56,28
PT,Portugal,Aveiro District,,22/03/2020,-83,-59,-77,-81,-51,23
PT,Portugal,Aveiro District,,23/03/2020,-71,-40,-56,-77,-56,33
PT,Portugal,Aveiro District,,24/03/2020,-71,-35,-48,-78,-57,32
PT,Portugal,Aveiro District,,25/03/2020,-71,-38,-56,-79,-58,33
PT,Portugal,Aveiro District,,26/03/2020,-72,-38,-55,-77,-58,34
PT,Portugal,Aveiro District,,27/03/2020,-73,-34,-60,-79,-58,38
PT,Portugal,Aveiro District,,28/03/2020,-78,-45,-74,-78,-54,27
PT,Portugal,Aveiro District,,29/03/2020,-83,-61,-84,-83,-53,24
PT,Portugal,Aveiro District,,30/03/2020,-72,-40,-70,-81,-57,33
PT,Portugal,Aveiro District,,31/03/2020,-70,-29,-65,-80,-58,33
PT,Portugal,Aveiro District,,01/04/2020,-69,-28,-60,-79,-59,33
PT,Portugal,Aveiro District,,02/04/2020,-67,-31,-45,-73,-59,33
PT,Portugal,Aveiro District,,03/04/2020,-69,-28,-57,-77,-58,37
PT,Portugal,Aveiro District,,04/04/2020,-75,-40,-76,-78,-53,26
PT,Portugal,Aveiro District,,05/04/2020,-84,-61,-92,-87,-53,25
PT,Portugal,Aveiro District,,06/04/2020,-69,-31,-67,-80,-58,33
PT,Portugal,Aveiro District,,07/04/2020,-65,-22,-49,-75,-58,32
PT,Portugal,Aveiro District,,08/04/2020,-62,-18,-53,-75,-58,31
PT,Portugal,Aveiro District,,09/04/2020,-68,-20,-60,-79,-63,34
PT,Portugal,Aveiro District,,10/04/2020,-80,-40,-69,-88,-85,50
PT,Portugal,Aveiro District,,11/04/2020,-77,-38,-74,-80,-57,28
PT,Portugal,Aveiro District,,12/04/2020,-85,-85,-84,-87,-54,24
PT,Portugal,Aveiro District,,13/04/2020,-76,-44,-65,-84,-76,41
PT,Portugal,Aveiro District,,14/04/2020,-62,-23,-40,-73,-56,30
PT,Portugal,Aveiro District,,15/04/2020,-66,-29,-58,-77,-57,33
PT,Portugal,Aveiro District,,16/04/2020,-65,-27,-58,-77,-57,33
PT,Portugal,Aveiro District,,17/04/2020,-66,-24,-52,-76,-56,36
PT,Portugal,Aveiro District,,18/04/2020,-70,-36,-62,-71,-45,23
PT,Portugal,Aveiro District,,19/04/2020,-77,-51,-75,-79,-44,21
PT,Portugal,Aveiro District,,20/04/2020,-66,-38,-65,-76,-52,31
PT,Portugal,Aveiro District,,21/04/2020,-62,-28,-47,-73,-52,30
